author name,author surname,manga fk
Aka,Akasaka,1
Mengo,Yokoyari,1
Shinichi,Sakamoto,2
Hiro, ?,3
Maru,Yuzu,4
Shin,Hotani,4
Paru,Itagaki,5
Iori,Asaga,6
Naoki,Urasawa,7
Kuroi,Mori,8
Shimazaki,Mujirushi,8
Arima,Aruma,9
Fukayama,Masuku,9
Ajiichi,?,10
Takayuki,Yamaguchi,11
Taizan5,?,12
Mikami,Saka,13
Hinata,Nakamura,14
Wakaba,Asayama,15
Shuzo,Oshimi,16
Shuzo,Oshimi,17
Inio,Asano,18
Kyôroku,?,19
Aihara,Akito,20
Shuzo,Oshimi,21
Matsuura,Kento,22
Sekka,Iwata,22
Momose,Nao,23
Kawaguchi,Yuki,24
Kawaguchi,Yuki,25
Kataoka,Jinsei,26
Kondo,Kazuma,26
Miyazaki,Shuuhei,27
Akinari,Asakura,28
Takeshi,Obata,28
Fujita,Kazuhiro,29
Tsukasa,Abe,30
Kanehito,Yamada,30
Tomoya,Harikawa,31
Akira,Hiramoto,32
Muneyuki,Kaneshiro,32
Sachiko,?,33
Miku,Morinaga,34
Arisaka,Ako,35